Numero de la Orden de Compra;EAN Entidad a Facturar;Nombre Entidad a Facturar;EAN Lugar Entrega Factura;Nombre Lugar Entrega Factura;F. Documento O/C;F. Minima Entrega;F. Maxima Entrega;F. Solicitada de Entrega;EAN del Item;PLU / SKU;Codigo Item Proveedor;Descripcion del Item;EAN Lugar Entrega Items;Nombre Lugar Entrega Items;Cantidad Total;EAN Punto de Venta;Nombre Punto de Venta;Cantidad Pto Vta;Precio Bruto;Precio Neto;% IVA
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666906996;565029;T200500010;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900658;SODIMAC - MANIZALES SAN RAFAEL;4;29900;29900;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666906996;565029;T200500010;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900115;SODIMAC - BOGOTA CEDRITOS;4;29900;29900;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666906996;565029;T200500010;;7703670529804;SODIMAC - CEDI FUNZA;;7703670901235;SODIMAC - TINTAL;4;29900;29900;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666906996;565029;T200500010;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900122;SODIMAC - CAJICA;8;29900;29900;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666906996;565029;T200500010;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900450;SODIMAC - RIONEGRO;4;29900;29900;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666906996;565029;T200500010;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900207;SODIMAC - GIRARDOT;8;29900;29900;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666906996;565029;T200500010;;7703670529804;SODIMAC - CEDI FUNZA;;7703670901167;SODIMAC - MOSQUERA;4;29900;29900;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666261484;583900;T2005INN14;;7703670529804;SODIMAC - CEDI FUNZA;8;7703670900580;SODIMAC - AV EL DORADO;4;68800;68800;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666261484;583900;T2005INN14;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900122;SODIMAC - CAJICA;4;68800;68800;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666059050;3057529;T2010BOL40;;7703670529804;SODIMAC - CEDI FUNZA;13;7703670900580;SODIMAC - AV EL DORADO;1;60300;60300;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666059050;3057529;T2010BOL40;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900689;SODIMAC - BOGOTA CALLE 80;6;60300;60300;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666059050;3057529;T2010BOL40;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900603;SODIMAC - PEREIRA;2;60300;60300;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666059050;3057529;T2010BOL40;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900658;SODIMAC - MANIZALES SAN RAFAEL;4;60300;60300;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666939819;565027;T200500006;;7703670529804;SODIMAC - CEDI FUNZA;104;7703670900580;SODIMAC - AV EL DORADO;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666939819;565027;T200500006;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900689;SODIMAC - BOGOTA CALLE 80;8;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666939819;565027;T200500006;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900702;SODIMAC - BOGOTA NORTE;8;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666939819;565027;T200500006;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900504;SODIMAC - BARRANQUILLA NORTE;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666939819;565027;T200500006;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900313;SODIMAC - CALI NORTE;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666939819;565027;T200500006;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900603;SODIMAC - PEREIRA;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666939819;565027;T200500006;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900412;SODIMAC - MEDELLIN SAN JUAN;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666939819;565027;T200500006;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900108;SODIMAC - SUBA;8;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666939819;565027;T200500006;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900542;SODIMAC - CARTAGENA LA POPA;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666939819;565027;T200500006;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900429;SODIMAC - BELLO;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666939819;565027;T200500006;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900900;SODIMAC - CUCUTA;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666939819;565027;T200500006;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900436;SODIMAC - MEDELLIN MOLINOS;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666939819;565027;T200500006;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900184;SODIMAC - VILLAVICENCIO;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666939819;565027;T200500006;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900153;SODIMAC - BOGOTA CALIMA NQS;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666939819;565027;T200500006;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900566;SODIMAC - MONTERIA EL RECREO;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666939819;565027;T200500006;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900658;SODIMAC - MANIZALES SAN RAFAEL;8;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666939819;565027;T200500006;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900115;SODIMAC - BOGOTA CEDRITOS;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666939819;565027;T200500006;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900443;SODIMAC - ENVIGADO;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666939819;565027;T200500006;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900559;SODIMAC - VALLEDUPAR GUATAPURI;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666939819;565027;T200500006;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900207;SODIMAC - GIRARDOT;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666939819;565027;T200500006;;7703670529804;SODIMAC - CEDI FUNZA;;7703670901228;SODIMAC - TUNJA;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666939819;565027;T200500006;;7703670529804;SODIMAC - CEDI FUNZA;;7703670901167;SODIMAC - MOSQUERA;4;12500;12500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666112779;675855;T2005MFG01;;7703670529804;SODIMAC - CEDI FUNZA;24;7703670900580;SODIMAC - AV EL DORADO;6;22500;22500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666112779;675855;T2005MFG01;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900702;SODIMAC - BOGOTA NORTE;6;22500;22500;;
15669499;7703670900009;Sodimac Colombia S.A.- Home Center;7703670529804;SODIMAC - CEDI FUNZA;01/06/2026 12:00;12/06/2026 00:00;16/06/2026 00:00;;7705666112779;675855;T2005MFG01;;7703670529804;SODIMAC - CEDI FUNZA;;7703670900191;SODIMAC - IBAGUE;6;22500;22500;;
